Region #,Region,IMD - Average score,IMD - Extent,Income - Average score,Employment - Average score,"Education, Skills and Training - Average score",Health Deprivation and Disability - Average score,Crime - Average score,Barriers to Housing and Services - Average score,Living Environment - Average score
E06000001,Hartlepool,33.178,0.4589,0.239,0.211,30.51,0.929,0.078,13.128,8.26
E06000002,Middlesbrough,40.216,0.5604,0.268,0.216,40.64,1.195,0.633,18.316,12.907
E06000003,Redcar and Cleveland,28.567,0.3394,0.204,0.186,27.875,0.752,-0.013,12.863,7.923
E06000004,Stockton-on-Tees,24.625,0.2799,0.177,0.156,24.637,0.548,-0.263,17.844,7.068
E06000005,Darlington,23.639,0.2438,0.168,0.15,22.569,0.502,0.224,12.346,10.71
E06000006,Halton,31.943,0.4494,0.201,0.179,27.276,0.964,0.331,18.737,20.815
E06000007,Warrington,19.312,0.1849,0.122,0.115,18.643,0.352,-0.124,16.196,19.707
E06000008,Blackburn with Darwen,34.189,0.5001,0.215,0.18,34.903,1.022,0.484,12.478,30.637
E06000009,Blackpool,41.997,0.5075,0.257,0.228,35.579,1.489,0.831,8.343,37.918
E06000010,"Kingston upon Hull, City of",41.235,0.5423,0.257,0.202,44.134,0.7,0.808,23.165,34.709
E06000011,East Riding of Yorkshire,15.792,0.0916,0.109,0.103,18.208,-0.461,-0.56,21.465,16.93
E06000012,North East Lincolnshire,30.898,0.3805,0.204,0.167,36.452,0.207,0.575,16.222,27.635
E06000013,North Lincolnshire,21.363,0.1874,0.15,0.129,25.953,0.143,-0.001,16.1,15.35
E06000014,York,12.219,0.0591,0.086,0.072,13.596,-0.494,-0.412,17.942,20.095
E06000015,Derby,27.79,0.3365,0.181,0.143,29.392,0.42,0.326,18.705,29.666
E06000016,Leicester,33.065,0.4175,0.221,0.153,38.007,0.554,0.55,17.932,34.567
E06000017,Rutland,9.621,0.0,0.064,0.058,9.747,-0.85,-0.6,27.328,14.93
E06000018,Nottingham,36.927,0.5572,0.225,0.165,38.751,0.857,0.672,25.76,32.133
E06000019,"Herefordshire, County of",19.737,0.0702,0.111,0.094,19.325,-0.328,-0.534,34.351,33.533
E06000020,Telford and Wrekin,24.852,0.2598,0.176,0.139,26.915,0.42,0.008,24.309,9.384
E06000021,Stoke-on-Trent,34.36,0.4882,0.208,0.18,39.728,0.947,0.482,16.753,24.771
E06000022,Bath and North East Somerset,12.094,0.0421,0.091,0.076,13.671,-0.537,-0.38,18.012,16.469
E06000023,"Bristol, City of",27.161,0.2901,0.167,0.129,27.677,0.315,0.519,20.43,31.854
E06000024,North Somerset,15.783,0.1103,0.116,0.107,16.018,-0.223,-0.362,18.771,11.965
E06000025,South Gloucestershire,11.358,0.0104,0.087,0.074,17.479,-0.857,-0.294,18.358,11.164
