Region,Region #,% 5+ A*-C,% 5+ A*-C inc Eng & Maths GCSE,% 5+ A*-G,% 5+ A*-G inc Eng & Maths GCSE,GCSE or Equv. Maths & English % entered,GCSE or Equv. Maths & English A*-C % achieved,% 5+ A*-G excl Eng & Maths GCSE,% 5+ A*-C excl Eng & Maths GCSE
County Durham,E06000047,65.1,55.1,93.3,91.1,95.6,57.6,2.200000000000003,9.999999999999993
Darlington,E06000005,62.2,52.5,93.6,90.2,95.5,55.9,3.3999999999999915,9.700000000000003
Gateshead,E08000037,67.6,58.1,92.6,90.1,95.4,60.2,2.5,9.499999999999993
Hartlepool,E06000001,63.7,53.4,94.0,90.8,95.7,55.8,3.200000000000003,10.300000000000004
Middlesbrough,E06000002,60.5,46.1,92.0,88.6,93.3,48.1,3.4000000000000057,14.399999999999999
Newcastle upon Tyne,E08000021,62.9,55.7,91.7,88.9,92.4,59.1,2.799999999999997,7.199999999999996
North Tyneside,E08000022,72.0,62.0,96.1,94.2,96.6,64.1,1.8999999999999915,10.0
Northumberland,E06000057,65.0,56.9,94.0,92.2,96.2,59.6,1.7999999999999972,8.100000000000001
Redcar and Cleveland,E06000003,62.7,54.3,93.3,89.8,95.8,57.0,3.5,8.400000000000006
South Tyneside,E08000023,66.1,57.7,95.8,94.3,97.1,60.5,1.5,8.399999999999991
Stockton-on-Tees,E06000004,69.8,59.3,94.0,90.7,95.0,61.4,3.299999999999997,10.5
Sunderland,E08000024,59.8,50.3,94.1,90.7,96.6,52.8,3.3999999999999915,9.5
Blackburn with Darwen,E06000008,65.2,56.9,94.6,92.3,96.1,59.5,2.299999999999997,8.300000000000004
Blackpool,E06000009,50.7,42.4,92.7,87.5,95.3,45.1,5.200000000000003,8.300000000000004
Bolton,E08000001,66.6,56.8,93.9,91.0,97.1,58.5,2.9000000000000057,9.799999999999997
Bury,E08000002,68.7,55.3,97.0,94.7,97.9,57.2,2.299999999999997,13.400000000000006
Cheshire East,E06000049,72.4,63.3,96.4,95.1,98.6,64.8,1.3000000000000114,9.100000000000009
Cheshire West and Chester,E06000050,69.7,58.3,94.9,91.6,95.6,60.6,3.3000000000000114,11.400000000000006
Cumbria,E10000006,66.0,56.8,94.9,93.4,96.8,59.0,1.5,9.200000000000003
Halton,E06000006,68.7,56.9,93.2,91.5,95.9,58.4,1.7000000000000028,11.800000000000004
Knowsley,E08000011,45.8,37.4,85.0,81.6,90.3,39.5,3.4000000000000057,8.399999999999999
Lancashire,E10000017,67.4,58.8,94.1,92.3,96.7,61.0,1.7999999999999972,8.600000000000009
Liverpool,E08000012,58.3,48.6,91.7,88.3,94.2,51.4,3.4000000000000057,9.699999999999996
Manchester,E08000003,59.3,47.5,90.7,87.1,94.1,49.1,3.6000000000000085,11.799999999999997
Oldham,E08000004,60.2,50.5,91.5,87.6,94.7,52.4,3.9000000000000057,9.700000000000003
Rochdale,E08000005,61.9,48.4,93.5,83.8,89.1,50.2,9.700000000000003,13.5
Salford,E08000006,60.1,48.0,92.7,85.3,91.7,49.9,7.400000000000006,12.100000000000001
Sefton,E08000014,68.8,54.9,94.3,91.6,95.9,56.5,2.700000000000003,13.899999999999999
St. Helens,E08000013,65.1,54.7,92.3,90.0,96.5,56.5,2.299999999999997,10.399999999999991
Stockport,E08000007,71.9,58.3,95.0,91.2,95.2,59.0,3.799999999999997,13.600000000000009
Tameside,E08000008,65.1,57.3,92.7,90.2,95.3,60.1,2.5,7.799999999999997
Trafford,E08000009,78.5,70.7,96.8,95.4,97.5,71.5,1.3999999999999915,7.799999999999997
Warrington,E06000007,66.1,58.5,95.0,93.1,97.5,61.9,1.9000000000000057,7.599999999999994
Wigan,E08000010,68.8,57.6,95.5,92.9,97.1,59.3,2.5999999999999943,11.199999999999996
Wirral,E08000015,72.5,61.8,93.8,91.7,96.5,63.2,2.0999999999999943,10.700000000000003
Barnsley,E08000016,57.9,49.4,93.1,90.3,97.1,52.2,2.799999999999997,8.5
Bradford,E08000032,54.6,45.5,91.0,86.3,94.3,47.8,4.700000000000003,9.100000000000001
Calderdale,E08000033,70.6,61.8,95.5,93.6,97.5,63.7,1.9000000000000057,8.799999999999997
Doncaster,E08000017,59.2,50.0,93.0,90.9,95.3,52.9,2.0999999999999943,9.200000000000003
East Riding of Yorkshire,E06000011,66.5,56.3,95.4,93.1,97.2,58.2,2.3000000000000114,10.200000000000003
"Kingston upon Hull, City of",E06000010,55.1,46.7,93.0,88.5,95.5,49.0,4.5,8.399999999999999
Kirklees,E08000034,65.5,56.8,95.5,93.0,97.4,58.9,2.5,8.700000000000003
Leeds,E08000035,63.1,55.5,91.5,88.9,95.9,57.7,2.5999999999999943,7.600000000000001
North East Lincolnshire,E06000012,60.4,52.1,93.9,91.7,96.1,53.8,2.200000000000003,8.299999999999997
North Lincolnshire,E06000013,62.9,57.6,93.6,92.6,96.4,61.7,1.0,5.299999999999997
North Yorkshire,E10000023,70.6,62.4,95.2,93.8,96.9,64.9,1.4000000000000057,8.199999999999996
Rotherham,E08000018,64.6,55.2,93.3,90.1,95.3,57.9,3.200000000000003,9.399999999999991
Sheffield,E08000019,63.7,54.0,92.6,90.4,95.7,55.7,2.1999999999999886,9.700000000000003
Wakefield,E08000036,68.3,59.8,94.4,92.8,96.9,61.8,1.6000000000000085,8.5
York,E06000014,73.4,63.7,96.6,95.1,97.5,64.8,1.5,9.700000000000003
Derby,E06000015,55.9,47.6,91.6,89.0,95.6,50.5,2.5999999999999943,8.299999999999997
Derbyshire,E10000007,64.6,55.9,94.9,91.9,95.8,58.7,3.0,8.699999999999996
Leicester,E06000016,59.1,50.4,91.6,88.7,94.1,53.0,2.8999999999999915,8.700000000000003
Leicestershire,E10000018,66.9,56.8,95.3,94.0,97.5,59.1,1.2999999999999972,10.100000000000009
Lincolnshire,E10000019,65.2,56.1,94.5,92.1,96.8,58.3,2.4000000000000057,9.100000000000001
Northamptonshire,E10000021,60.9,52.3,93.9,90.8,96.1,54.9,3.1000000000000085,8.600000000000001
Nottingham,E06000018,49.4,42.4,88.7,85.6,91.8,45.5,3.1000000000000085,7.0
Nottinghamshire,E10000024,65.4,57.0,95.1,92.3,96.0,59.7,2.799999999999997,8.400000000000006
Rutland,E06000017,76.1,67.2,97.6,97.2,99.2,68.8,0.3999999999999915,8.899999999999991
Birmingham,E08000025,64.6,54.3,94.3,91.2,95.8,56.2,3.0999999999999943,10.299999999999997
Coventry,E08000026,61.3,51.0,93.9,88.5,93.4,54.4,5.400000000000006,10.299999999999997
